unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y15-64,J-N,EU15	1.9 	1.9 	1.9 	1.8 	1.9 	1.8 	1.9 	1.9 	1.9 	2.0 	2.2 b
PC,F,Y15-64,J-N,EU27_2020	2.3 	2.3 	2.5 	2.4 	2.5 	2.4 	2.5 	2.5 	2.4 	2.5 	2.6 b
PC,F,Y15-64,J-N,EU28	2.0 	2.1 	2.1 	2.1 	2.2 	2.1 	2.2 	2.2 	2.1 	2.1 	2.3 b
PC,F,Y15-64,J-N,FI	3.4 	2.8 	3.0 	2.7 	2.7 	3.6 	2.9 	2.8 	3.1 b	2.5 	2.6 b
PC,F,Y15-64,J-N,FR	3.5 	4.2 	4.3 	3.9 	3.9 b	3.6 	4.4 	4.5 	4.2 	4.8 	4.7 b
PC,F,Y15-64,J-N,HR	7.8 u	6.9 u	9.5 u	7.4 u	4.1 bu	3.4 u	3.7 u	4.0 u	3.4 u	2.6 u	2.6 bu
PC,F,Y15-64,J-N,HU	1.9 u	2.4 	1.6 u	3.0 	2.5 	3.8 	2.6 	3.0 	1.8 u	2.4 u	2.3 bu
PC,F,Y15-64,J-N,IE	: u	: bu	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,J-N,IS	: u	: u	4.6 	4.8 	: u	: u	: u	4.8 	6.4 	4.5 	: bu
PC,F,Y15-64,J-N,IT	3.3 	2.5 	2.6 	2.3 	2.3 	2.2 	2.0 	1.8 	1.9 	2.1 	1.9 b
PC,F,Y15-64,J-N,LT	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,J-N,LU	2.3 u	: u	: u	2.1 bu	: u	: u	: u	: u	: c	: bu	: bu
PC,F,Y15-64,J-N,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	: bu
PC,F,Y15-64,J-N,ME	10.6 u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 
PC,F,Y15-64,J-N,MK	6.9 	3.5 u	3.4 u	3.4 u	4.3 u	4.3 u	3.7 u	: u	: 	: 	: 
PC,F,Y15-64,J-N,MT	: u	: u	: u	: u	: u	: u	: u	: c	: c	: u	: bc
PC,F,Y15-64,J-N,NL	1.0 	1.2 	1.0 	1.2 	1.4 	1.1 b	1.2 	1.2 	1.3 	1.0 	1.4 b
PC,F,Y15-64,J-N,NO	: u	: u	0.4 u	0.7 u	0.7 u	1.4 	0.6 u	1.0 u	1.1 u	: u	1.0 bu
PC,F,Y15-64,J-N,PL	4.9 	5.2 	5.9 	6.9 	7.2 	6.6 	6.7 	6.5 	5.7 b	5.2 	6.4 b
PC,F,Y15-64,J-N,PT	3.4 	2.8 	4.0 	3.6 	3.5 	4.8 	4.5 	4.3 b	: u	: u	: bu
PC,F,Y15-64,J-N,RO	: c	: c	: c	: c	: u	: c	: 	: u	: bc	: u	: bc
PC,F,Y15-64,J-N,RS	6.3 	8.5 	7.1 	6.0 	2.1 bu	: u	: u	: u	: u	: 	: 
PC,F,Y15-64,J-N,SE	3.3 b	3.2 	3.6 	4.4 	4.3 	4.4 	4.4 	4.8 	4.8 	4.2 	4.0 b
PC,F,Y15-64,J-N,SI	3.9 u	6.1 u	5.6 u	4.9 u	4.8 u	4.9 u	4.1 u	5.2 u	6.1 u	6.5 u	5.9 bu
PC,F,Y15-64,J-N,SK	: u	1.9 u	2.8 u	2.5 u	: u	: u	: u	: bu	: u	: bu	: bu
PC,F,Y15-64,J-N,TR	2.6 	1.7 	1.7 	1.9 	1.7 b	1.9 	1.4 	1.6 	1.7 	1.5 	: 
PC,F,Y15-64,J-N,UK	0.5 	0.5 	0.3 u	0.4 u	0.4 u	0.4 u	0.4 u	0.3 u	0.4 u	0.4 u	0.5 b
PC,F,Y15-64,NRP,CH	: u	4.2 u	4.2 u	: u	6.3 u	3.7 u	3.9 u	3.3 u	3.0 bu	: u	2.5 bu
PC,F,Y15-64,NRP,DK	: u	: bu	: bu	: c	: u	: 	: 	: c	: 	: c	: 
PC,F,Y15-64,NRP,EA19	4.5 	4.4 	4.1 	5.0 	4.7 	4.2 	3.6 u	5.0 	3.9 	4.4 u	5.8 bu
PC,F,Y15-64,NRP,EE	: 	: 	: c	: c	: c	: 	: 	: 	: c	: 	: 
PC,F,Y15-64,NRP,EU15	4.2 	4.1 	4.1 	4.6 	4.2 	3.9 	3.5 	4.5 	3.3 	3.5 u	5.5 bu
PC,F,Y15-64,NRP,EU27_2020	4.7 	4.7 	4.6 	5.3 	5.1 	4.5 	4.3 u	5.4 	4.0 u	4.5 u	6.1 bu
PC,F,Y15-64,NRP,EU28	4.3 	4.3 	4.3 	4.7 	4.4 	3.9 	3.6 u	4.6 	3.5 u	3.7 u	5.8 bu
PC,F,Y15-64,NRP,FI	: c	: c	: u	: u	: u	: u	: u	: u	: bu	: u	: bu
PC,F,Y15-64,NRP,FR	13.2 	13.3 	9.9 	11.7 	12.1 b	11.7 	15.4 u	23.0 	12.7 u	13.3 u	14.9 bu
PC,F,Y15-64,NRP,HR	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 
PC,F,Y15-64,NRP,IE	: c	: bc	: c	: c	: 	: c	: 	: 	: c	: 	: bc
PC,F,Y15-64,NRP,LU	: c	: u	: u	: bu	: 	: 	: c	: c	: u	: bc	: 
PC,F,Y15-64,NRP,LV	: 	: 	: 	: c	: 	: 	: 	: 	: c	: 	: 
PC,F,Y15-64,NRP,MK	: 	: 	: 	: 	: 	: 	: 	: 	2.5 	2.3 	2.5 b
PC,F,Y15-64,NRP,NL	1.4 	1.6 	1.5 	1.9 	1.8 	1.6 b	1.1 	1.3 	1.2 	1.4 	1.6 bu
PC,F,Y15-64,NRP,NO	: 	: c	: c	: u	: c	: c	: 	: 	: c	: 	: bu
PC,F,Y15-64,NRP,PL	: u	: u	: u	: u	: u	: 	: c	: c	: bc	: 	: bc
PC,F,Y15-64,NRP,SE	13.4 bu	11.2 u	10.6 u	13.4 	14.8 u	15.7 u	22.5 	22.2 u	: u	: u	: bu
PC,F,Y15-64,NRP,SI	19.4 u	23.0 u	: u	: u	: u	: u	: u	: u	: u	34.9 u	37.9 bu
